순위,게임명_중문,게임명_한글_초안,개발사_한글,개발사_중문,战略大品类Tag,战略细分品类Tag,전략대분류_KO,전략세부분류_KO,전략Tag_신뢰도,ST_대표장르_KO,ST_세부장르_KO,Qimai_장르_KO,매출집계_시작일,매출집계_종료일,출시일_기준,iOS_Net_USD_12개월,Gross_USD_12개월,Gross_KRW_원_12개월,Gross_KRW_억원_12개월,App_ID,AppStore_URL,Qimai_URL,SensorTower_URL,개발사_위치_중문,개발사_위치_한글,개발사_지역_중문,개발사_지역_한글,개발사_위치_위도,개발사_위치_경도,개발사_위치_신뢰도,개발사_위치_근거,iOS_Gross_KRW_원_12개월,iOS_Gross_KRW_억원_12개월,iOS_Gross_USD_12개월,최근12개월_Gross_USD_12개월,최근12개월_Gross_KRW_원_12개월,최근12개월_Gross_KRW_억원_12개월,최근12개월_iOS_Net_USD_12개월,최근12개월_매출집계_시작일,최근12개월_매출집계_종료일,최근12개월_iOS_Gross_KRW_원_12개월,최근12개월_iOS_Gross_KRW_억원_12개월,최근12개월_iOS_Gross_USD_12개월
219,潮汐守望者,潮汐守望者,문톤,沐瞳科技,SLG/전략게임,라이트 SLG,SLG/전략게임,라이트 SLG,상,RPG,RPG/전략,RPG/전략,2024-10-24,2025-10-23,Qimai_출시일,17421371.460000005,49775347.02857144,72672006661.71432,726.7200666171431,6484164228,https://apps.apple.com/cn/app/id6484164228,https://www.qimai.cn/app/baseinfo/appid/6484164228/country/cn,https://app.sensortower.com/ios/cn/moonton-games/app/chao-xi-shou-wang-zhe/6484164228/,上海,상하이,上海市,상하이시,31.2304,121.4737,high,대표 개발사/브랜드 매핑: 沐瞳 → 上海,36336003330.85716,363.36003330857153,24887673.51428572,28486630.028571457,41590479841.71432,415.9047984171432,9970320.51000001,2025-06-01,2026-05-31,20795239920.85716,207.9523992085716,14243315.014285728
220,超级舰队,超级舰队,3K게임즈,3K游戏,SLG/전략게임,라이트 SLG,SLG/전략게임,라이트 SLG,상,전략,전략/RPG,전략/RPG,2016-12-13,2017-12-12,Qimai_출시일,16898344.730000004,48280984.94285716,70490238016.57146,704.9023801657146,1181296480,https://apps.apple.com/cn/app/id1181296480,https://www.qimai.cn/app/baseinfo/appid/1181296480/country/cn,https://app.sensortower.com/ios/cn/shang-hai-bin-jie/app/chao-ji-jian-dui/1181296480/,上海,상하이,上海市,상하이시,31.2304,121.4737,high,대표 개발사/브랜드 매핑: Shanghai → 上海,35245119008.28573,352.4511900828573,24140492.47142858,1357581.9142857136,1982069594.8571415,19.820695948571416,475153.6699999997,2025-06-01,2026-05-31,991034797.4285707,9.910347974285708,678790.9571428568
221,桃源深处有人家,桃源深处有人家,텐센트,腾讯,경영/시뮬레이션,도시건설 경영,경영/시뮬레이션,도시건설 경영,상,캐주얼,캐주얼/시뮬레이션,캐주얼/시뮬레이션,2023-03-22,2024-03-21,Qimai_출시일,16702747.829999983,47722136.65714282,69674319519.42851,696.7431951942851,1582427876,https://apps.apple.com/cn/app/id1582427876,https://www.qimai.cn/app/baseinfo/appid/1582427876/country/cn,https://app.sensortower.com/ios/cn/tencent-technology-chengdu-co-ltd/app/tao-yuan-shen-chu-you-ren-jia/1582427876/,深圳,선전,广东省,광둥성,22.5431,114.0579,high,대표 개발사/브랜드 매핑: 腾讯 → 深圳,34837159759.71426,348.37159759714257,23861068.32857141,35452125.257142894,51760102875.428635,517.6010287542863,12408243.840000013,2025-06-01,2026-05-31,25880051437.714317,258.80051437714314,17726062.628571447
222,开间小店,开间小店,Chengdu Linxin Technology,"Chengdu Linxin Technology Co.,LTD",경영/시뮬레이션,매장 경영,경영/시뮬레이션,매장 경영,상,시뮬레이션,시뮬레이션,시뮬레이션,2022-01-17,2023-01-16,Qimai_출시일,16627448.710000005,47506996.314285725,69360214618.85716,693.6021461885716,1597863714,https://apps.apple.com/cn/app/id1597863714,https://www.qimai.cn/app/baseinfo/appid/1597863714/country/cn,https://app.sensortower.com/ios/cn/chengdu-linxin-technology-co-ltd/app/kai-jian-xiao-dian/1597863714/,成都,청두,四川省,쓰촨성,30.5728,104.0668,high,대표 개발사/브랜드 매핑: Chengdu → 成都,34680107309.42858,346.8010730942858,23753498.157142863,928814.4285714284,1356069065.7142854,13.560690657142853,325085.05,2025-06-01,2026-05-31,678034532.8571427,6.780345328571427,464407.2142857142
223,三国志2017,三国志2017,Alibaba Group,Star World Games,SLG/전략게임,하드 SLG,SLG/전략게임,하드 SLG,상,전략,전략/시뮬레이션,전략/시뮬레이션,2017-08-29,2018-08-28,Qimai_출시일,16544090.260000002,47268829.314285725,69012490798.85716,690.1249079885716,1212200349,https://apps.apple.com/cn/app/id1212200349,https://www.qimai.cn/app/baseinfo/appid/1212200349/country/cn,https://app.sensortower.com/ios/cn/star-world-games/app/san-guo-zhi-2017/1212200349/,海外/未确认,해외/미확인,海外/未确认,해외/미확인,,,review,공개 본사 위치 미확인/해외 개발사 또는 데이터상 단서 부족,34506245399.42858,345.0624539942858,23634414.657142863,2052629.6000000008,2996839216.0000014,29.968392160000015,718420.3600000003,2025-06-01,2026-05-31,1498419608.0000007,14.984196080000007,1026314.8000000004
224,花亦山心之月,花亦山心之月,바이트댄스/누버스,朝夕光年/字节跳动,여성향 전용,오토메 연애 RPG,여성향 전용,오토메 연애 RPG,상,카드,카드,카드,2021-11-25,2022-11-24,Qimai_출시일,16297743.239999996,46564980.685714275,67984871801.14284,679.8487180114283,1523282795,https://apps.apple.com/cn/app/id1523282795,https://www.qimai.cn/app/baseinfo/appid/1523282795/country/cn,https://app.sensortower.com/ios/cn/beijing-zhaoxiguangnian-information-technology-co-ltd/app/hua-yi-shan-xin-zhi-yue/1523282795/,北京,베이징,北京市,베이징시,39.9042,116.4074,high,대표 개발사/브랜드 매핑: 朝夕光年 → 北京,33992435900.57142,339.92435900571417,23282490.342857137,1965556.8857142855,2869713053.1428566,28.697130531428567,687944.9099999998,2025-06-01,2026-05-31,1434856526.5714283,14.348565265714283,982778.4428571428
225,街篮,街篮,5X게임즈,5X Games,경기/스포츠·레이싱,스포츠,경기/스포츠·레이싱,스포츠,상,스포츠,스포츠,스포츠,2016-10-30,2017-10-29,Qimai_출시일,16272247.330000011,46492135.22857147,67878517433.71434,678.7851743371434,1096974019,https://apps.apple.com/cn/app/id1096974019,https://www.qimai.cn/app/baseinfo/appid/1096974019/country/cn,https://app.sensortower.com/ios/cn/chengdu-dyyf-technology-co-ltd/app/jie-lan/1096974019/,成都,청두,四川省,쓰촨성,30.5728,104.0668,high,대표 개발사/브랜드 매핑: Chengdu → 成都,33939258716.85717,339.3925871685717,23246067.614285734,1849737.9428571432,2700617396.5714293,27.006173965714293,647408.2800000001,2025-06-01,2026-05-31,1350308698.2857146,13.503086982857146,924868.9714285716
226,仙境传说：爱如初见,仙境传说：爱如初见,GRAVITY,"Beijing Ruyi JIngxiu Network Technology Co., Ltd.",ARPG,ARPG,ARPG,ARPG,상,RPG,RPG/어드벤처,RPG/어드벤처,2024-03-26,2025-03-25,Qimai_출시일,16152033.819999997,46148668.05714285,67377055363.42856,673.7705536342856,6468898329,https://apps.apple.com/cn/app/id6468898329,https://www.qimai.cn/app/baseinfo/appid/6468898329/country/cn,https://app.sensortower.com/ios/cn/beijing-ruyi-jingxiu-network-technology-co-ltd/app/xian-jing-chuan-shuo-ai-ru-chu-jian/6468898329/,北京,베이징,北京市,베이징시,39.9042,116.4074,high,대표 개발사/브랜드 매핑: Beijing → 北京,33688527681.71428,336.8852768171428,23074334.028571423,3624237.914285715,5291387354.857145,52.91387354857146,1268483.2700000005,2025-06-01,2026-05-31,2645693677.4285727,26.45693677428573,1812118.9571428576
227,富豪麻将,富豪麻将,투유,途游,보드/체스/마작,대중 체스/마작/카드,보드/체스/마작,대중 체스/마작/카드,상,카드,카드,카드,2021-06-04,2022-06-03,SensorTower_출시일,15975748.289999995,45644995.11428571,66641692866.85714,666.4169286685714,1503642891,https://apps.apple.com/cn/app/id1503642891,https://www.qimai.cn/app/baseinfo/appid/1503642891/country/cn,https://app.sensortower.com/ios/cn/tuyoo-online-hk-limited/app/fu-hao-ma-jiang/1503642891/,北京,베이징,北京市,베이징시,39.9042,116.4074,high,대표 개발사/브랜드 매핑: 途游 → 北京,33320846433.42857,333.2084643342857,22822497.557142854,8597265.542857148,12552007692.571436,125.52007692571436,3009042.9400000013,2025-06-01,2026-05-31,6276003846.285718,62.76003846285718,4298632.771428574
228,三国群英传-霸王之业,三国群英传-霸王之业,텐센트,腾讯,SLG/전략게임,하드 SLG,SLG/전략게임,하드 SLG,상,전략,전략,전략,2020-04-10,2021-04-09,SensorTower_출시일,15581288.350000003,44517966.71428573,64996231402.857155,649.9623140285715,1208410827,https://apps.apple.com/cn/app/id1208410827,https://www.qimai.cn/app/baseinfo/appid/1208410827/country/cn,https://app.sensortower.com/ios/cn/tencent-mobile-games/app/san-guo-qun-ying-chuan-ba-wang-zhi-ye/1208410827/,深圳,선전,广东省,광둥성,22.5431,114.0579,high,대표 개발사/브랜드 매핑: 腾讯 → 深圳,32498115701.428577,324.98115701428577,22258983.357142866,10317117.714285718,15062991862.85715,150.6299186285715,3610991.200000001,2025-06-01,2026-05-31,7531495931.428575,75.31495931428574,5158558.857142859
229,小小蚁国,小小蚁国,37게임즈,三七互娱,SLG/전략게임,하드 SLG,SLG/전략게임,하드 SLG,상,시뮬레이션,시뮬레이션/전략,시뮬레이션/전략,2022-09-23,2023-09-22,Qimai_출시일,15519567.679999989,44341621.94285711,64738768036.57138,647.3876803657138,1638299638,https://apps.apple.com/cn/app/id1638299638,https://www.qimai.cn/app/baseinfo/appid/1638299638/country/cn,https://app.sensortower.com/ios/cn/anhui-37-network-technology-co-ltd/app/xiao-xiao-yi-guo/1638299638/,广州,광저우,广东省,광둥성,23.1291,113.2644,high,대표 개발사/브랜드 매핑: 三七互娱 → 广州,32369384018.28569,323.6938401828569,22170810.971428555,958447.1428571427,1399332828.5714283,13.993328285714282,335456.49999999994,2025-06-01,2026-05-31,699666414.2857141,6.996664142857141,479223.57142857136
